term,definition
사법심사,사법법원이 행정기관의 행위에 대하여 적법 여부 심사를 하는 것
사법적극주의,법해석과 판결에 있어서 법문언의 해석에 그치치 않고 정치적 목표나 사회정의 실현 등을 염두에 두어 적극적 법형성 내지 법창조를 강조하는 태도
사실관계,사건 관계인들이 관여한 시간순에 따라 사건을 정리하는 것을 역사적 사실라고 하는데 이 역사적 사실에서 법률적으로 의미있는 부분 즉 권리의무의 판단에 필요한 것만을 선별한 것을 사실관계라고 한다
사실의흠결,형법에서 어떤 행위의 내용 중 구성요건에 해당하는 요소가 없는 경우
사적자치의원칙,사법상의 법률관계는 개인의 자유로운 의사에 따라 자기책임하에서 규율하고 원칙적으로 국가는 이에 간섭하지 않는다는 근대 사법의 원칙
사정변경의원칙,법률행위의 성립 당시와 그 기초가 된 사정이 현저히 변경되는 경우 당초에 정하여진 행위의 효과를 그대로 유지 강제하는 것은 신의칙에 반하므로 법률행위를 새로운 사정에 적합하도록 변경하거나 또는 해제 해지시켜 그 구속력을 잃게 할 수 있다는 원칙
사체유기죄,사체유골유발이나 관내에 장치한 물건을 유기함으로써 성립하는 범죄형법 제조
사후심,원심 판결의 당시를 기준으로 하여 원심에서 현출된 자료에 따라 판결의 당부를 사후에 심사하는 심급절차
상계,채무자와 채권자가 동종의 채권을 가질 경우 그 채권과 채무를 대등액에서 소멸시키겠다는 의사표시민법 제조 이하
상고,제심 판결에 불복하여 대법원에 상소하는 것
상관모욕죄,군형법에서 군인이나 군적을 가지는 예비역보충역 등이 상관을 모욕하거나 명예를 훼손하는 범죄
상대적과실,피고가 원고와 자신의 과실을 비교하여 보상 규모를 낮추고자 하는 항변
상린권,서로 인접한 부동산의 이용관계를 조절하는 과정에서 생기는 법률관계에 의하여 발생하는 권리
상소,재판이 확정되기 전 상급법원에 불복신청을 하여 구제를 청하는 제도
상수원보호구역,환경부장관 또는 시도지사가 상수원 확보와 수질 보전을 위하여 수도법에 따라 지정공고한 구역
서증,소송법상의 용어로서 소송에서 문서의 증거력 유무를 조사하는 절차
선고,법원이 소송의 당사자에게 판결을 공식적으로 선언하는 절차
선관주의의무,그 사람의 직업 및 사회적 지위에 따라 거래상 보통 일반적 객관적으로 요구되는 정도의 주의를 말한다
선동,다른 사람에게 어떠한 일이나 행동을 부추기는 행위
선례구속의원칙,동일 또는 유사한 사건에 대한 재판은 선례에 따라서 이루어져야 한다는 원칙으로서 상급법원의 판결이 하급법원을 구속하는 것을 말한다
선의,자신의 행위가 법률관계에 영향을 미칠 수 있다는 사실을 모르는 것
선의의취득자,물건의 원소유주의 권리를 알지 못한 채 판매자로부터 물건을 취득한 사람
선의취득,제자가 권리의 외관을 신뢰하고 거래한 때에는 비록 전소유자가 무권리자이더라도 권리의 취득을 인정하는 제도민법 제조조
소청구,원고가 법원에게 일정한 행위에 대해 정당성 여부를 심판하여 권리 보호를 허락하여 달라고 요구하는 신청
소급효,법률 또는 법률요건의 효력이 그 성립 이전에서부터 발생하는 것
소멸시효,권리자가 권리를 행사하지 않은 채 일정기간이 지난 경우에 그 권리의 소멸을 인정하는 제도민법 제조 이하
소명,당사자가 그 주장하는 사실에 관하여 법관에게 일응 진실한 것 같다는 추측이 생기도록 하는 것 또는 이를 위하여 당사자가 증거를 제출하는 것을 말한다
소비물,물건의 성질상 한 번 사용하면 다시 동일한 용도로 사용할 수 없는 것
소비자보호법,소비자의 권익을 보호하기 위하여 제정된 법률
소송대리인,소송 수행을 위하여 당사자로부터 대리권을 부여받은 사람
소수주주권,다수 주주의 횡포를 막고 회사의 이익을 보호하기 위하여 일정 비율의 주식을 보유한 소수 주주에게 부여하는 권리
소액심판제도,개인간의 분쟁 금액이 소액천만원 이하일 경우 분쟁을 신속하게 해결하기 위하여 마련된 재판제도
소요죄,다중이 집합하여 폭행협박 또는 손괴 행위를 함으로써 성립하는 범죄형법 제조
소유권유보계약,매도인이 매매대금의 완제를 받을 때까지 소유권을 보유하는 계약으로서 주로 할부약관이 있는 매매계약에서 이용된다
소장,소송을 제기하기 위하여 법원에 제출하는 서류
소장의송달,민사소송법의 절차로 소송을 제기 후 피고에게 소송사실소장을 고지하는 절차
소환,법원이 소송 진행을 위해 당사자증인대리인 등의 소송 관계인에게 일정한 일시에 법원 및 일정한 장소에 출석하도록 하는 행위
속박,계약이 부적절한 위협으로 이루어지거나피해자가 합리적인 대안이 없는 상태에서 불가피하게 계약을 한 경우를 말한다
손익상계,손해배상청구권자가 손해를 본 것과 같은 원인에 의하여 이익도 보았을 때에는 손해에서 그 이익을 공제한 잔액을 배상해야 할 손해로 하는 것
손해배상자의대위,채무자가 채권의 목적인 물건 및 권리의 가액전부를 손해배상 할 때에는 채무자가 그 물건 및 권리에 관하여 당연히 채권자를대위하는 것을 말한다민법 제조
수권행위,대리권을 수여하는 법률행위
수리행위,다른 사람의 행위를 유효한 행위로 수령하는 것
수사판사,프랑스의 사법제도로 판사가 경찰을 지휘하고 사건을 수사하여 구속영장을 발부하고 기소함
수색,압수해야 할 물건이나 체포해야 할 범인을 찾아내기 위하여 사람의 신체물건가택을 조사하는 강제처분
수의약정,실질적 구속력이 없는 약속 혹은 계약을 말한다 이행자에게 이행여부에 관해 선택을 가능케 하여 이행이 법적구속력을 가지지 않는 계약이다
수임료,변호사가 당사자를 대리하여 소송을 수행하고 받는 수수료
승낙,피청약자가 계약을 성립시키기 위하여 청약자에게 하는 의사 표시
시가총액,전 상장주식을 시가로 평가한 금액
시효,일정한 사실 상태가 일정기간 계속되어 온 경우에 그 사실상태가 진정한 권리관계와 합치하는지 여부를 묻지 않고 법률상 사실상태에 대응하는 법률효과를 인정하여 주는 제도이다
시효원용권,민법에서 채무자가 소멸시효가 완성되었음을 이유로 채무이행을 거절하는 것
신고,국민이 법령에 따라 행정 관청에 일정한 사실을 진술보고하는 것
신뢰훼손,믿고 의지했던 어떠한 상태를 깨뜨림
신의성실의원칙,민법에서 권리의 행사와 의무의 이행은 신의에 좇아 성실히 하여야 한다라고 규정한 원칙민법 제조
신자연법론,세기 말 법실증주의를 비판하여 일어난 새 법철학 이론
신체의자유,사람이 적벌한 절차에 따르지 않고는 신체적 제한이나 구속을 받지 않는 자유
실정법,자연법과 대립된 개념으로 경험적 사실에 의거하여 형성된 법
실체법,법률관계에서 권리와 의무의 발생변경소멸 등을 규정한 법
실효의원칙,권리자가 장기간 권리를 행사하지 않아 상대방이 그 권리가 소멸되었다고 믿을 만한 정당한 사유가 있데 되었다면 권리자에게 더 이상 권리 행사를 허용하지 않는다는 원칙
심문,법원이 당사자나 그 밖의 이해관계인에게 개별적으로 서면제출 혹은 구두 진술을 할 기회를 주는 행위
압류,민사소송에서 집행기관이 채권자의 신청을 받아 채무자의 재산 처분을 제한하거나 금지하는 행위
약관,계약의 당사자 일방이 계약 전 일정한 형식에 따라 마련한 계약조항
양형,법원이 형사재판의 결과 유죄 판결을 선고할 피고인에 대해 구체적으로 선고할 형을 정하는 것
어음수표법,어음과 수표에 관하여 규정한 상법
업무상과실,업무상 필요한 주의를 게을리 한 행위
열대우림법,년에 국제 연합세계은행세계자원기구가 열대우림을 보전하자는 취지로 제안한 법안
오상방위,객관적으로 정당방위의 사실이 존재하지 않음에도 불구하고 행위자가 정당방위의 사안이라고 주관적으로 오신하여 행한 방위행위
완전사유권,정부의 간섭에서 자유로운 완전한 사유권
외관주의,진실에 반하는 외관을 제자에게 표시한 경우 이를 믿은 사람에게 귀책사유가 없는 한 외관을 표시한 자가 표시된대로의 법률상 책임을 부담한다는 것을 말한다
원고,법원에 소송을 제기하여 재판을 청구한 사람
원인에있어서자유로운행위,자기가 자기 스스로를 책임 능력이 없는 상태로 빠뜨려 범죄를 실행하는 행위형법 제조
위법성,범죄의 성립요건 중 하나로 어떤 행위가 법질서 전체의 원리와 어긋나는 일
위법성조각사유,어떠한 범죄가 법질서 전체와 어긋나는 위법성을 갖추고 있더라도 실질적으로 위법이 아님을 인정할 수 있는 특별한 사유
위요지,민법에서 어떤 토지를 둘러싸고 있는 주변토지를 지칭하는 말
위증,법률에 따라 선서한 증인이 법정에서 허위로 진술하는 행위형법 제조
위탁,법률 행위나 사무 처리를 다른사람에게 부탁하거나 책임을 넘기는 일
유권해석,권한 있는 국가기관에 의하여 행해지는 구속력 있는 법의 해석
